part_id,feature_id,joint,pair_id,u0_mm,v0_mm,length_mm,width_mm,depth_mm,seat,mate_part_id,mate_feature_id,open_edges,A_face_in_assembly,dxf_handle
L02-2,L02-2-P02,J4,PAIR-16,284.0,0.0,10.0,10.0,10.0,False,S01-2,S01-2-P04,U_MAX;V_MIN;V_MAX,BACK,AF
L02-2,L02-2-P03,J3,PAIR-26,94.66666666666669,0.0,10.0,10.0,10.0,False,L01-1,L01-1-P04,V_MIN;V_MAX,BACK,B0
L02-2,L02-2-P04,J3,PAIR-32,189.33333333333337,0.0,10.0,10.0,10.0,False,L01-2,L01-2-P04,V_MIN;V_MAX,BACK,B1
L02-3,L02-3-P01,J4,PAIR-10,0.0,0.0,10.0,10.0,10.0,False,S01-1,S01-1-P06,U_MIN;V_MIN;V_MAX,BACK,B4
L02-3,L02-3-P02,J4,PAIR-17,284.0,0.0,10.0,10.0,10.0,False,S01-2,S01-2-P05,U_MAX;V_MIN;V_MAX,BACK,B5
L02-3,L02-3-P03,J3,PAIR-27,94.66666666666669,0.0,10.0,10.0,10.0,False,L01-1,L01-1-P05,V_MIN;V_MAX,BACK,B6
L02-3,L02-3-P04,J3,PAIR-33,189.33333333333337,0.0,10.0,10.0,10.0,False,L01-2,L01-2-P05,V_MIN;V_MAX,BACK,B7
L02-4,L02-4-P01,J4,PAIR-09,0.0,0.0,10.0,10.0,10.0,False,S01-1,S01-1-P05,U_MIN;V_MIN;V_MAX,BACK,BA
L02-4,L02-4-P02,J4,PAIR-18,284.0,0.0,10.0,10.0,10.0,False,S01-2,S01-2-P06,U_MAX;V_MIN;V_MAX,BACK,BB
L02-4,L02-4-P03,J3,PAIR-28,94.66666666666669,0.0,10.0,10.0,10.0,False,L01-1,L01-1-P06,V_MIN;V_MAX,BACK,BC
L02-4,L02-4-P04,J3,PAIR-34,189.33333333333337,0.0,10.0,10.0,10.0,False,L01-2,L01-2-P06,V_MIN;V_MAX,BACK,BD
L02-5,L02-5-P01,J4,PAIR-08,0.0,0.0,10.0,10.0,10.0,False,S01-1,S01-1-P04,U_MIN;V_MIN;V_MAX,BACK,C0
L02-5,L02-5-P02,J4,PAIR-19,284.0,0.0,10.0,10.0,10.0,False,S01-2,S01-2-P07,U_MAX;V_MIN;V_MAX,BACK,C1
L02-5,L02-5-P03,J3,PAIR-29,94.66666666666669,0.0,10.0,10.0,10.0,False,L01-1,L01-1-P07,V_MIN;V_MAX,BACK,C2
L02-5,L02-5-P04,J3,PAIR-35,189.33333333333337,0.0,10.0,10.0,10.0,False,L01-2,L01-2-P07,V_MIN;V_MAX,BACK,C3
L02-6,L02-6-P01,J4,PAIR-07,0.0,0.0,10.0,10.0,10.0,False,S01-1,S01-1-P03,U_MIN;V_MIN;V_MAX,BACK,C6
L02-6,L02-6-P02,J4,PAIR-20,284.0,0.0,10.0,10.0,10.0,False,S01-2,S01-2-P08,U_MAX;V_MIN;V_MAX,BACK,C7
L02-6,L02-6-P03,J3,PAIR-30,94.66666666666669,0.0,10.0,10.0,10.0,False,L01-1,L01-1-P08,V_MIN;V_MAX,BACK,C8
L02-6,L02-6-P04,J3,PAIR-36,189.33333333333337,0.0,10.0,10.0,10.0,False,L01-2,L01-2-P08,V_MIN;V_MAX,BACK,C9
