part_id,feature_id,joint,pair_id,u0_mm,v0_mm,length_mm,width_mm,depth_mm,seat,mate_part_id,mate_feature_id,open_edges,A_face_in_assembly,dxf_handle
L01-1,L01-1-P06,J3,PAIR-40,360.0,0,10.0,10,10,False,L02-4,L02-4-P03,V_MIN;V_MAX,FRONT,BD
L01-2,L01-2-P01,J4,PAIR-29,0,0,10,10,10,False,S02-1,S02-1-P03,U_MIN;V_MIN;V_MAX,FRONT,C0
L01-2,L01-2-P02,J4,PAIR-32,450.0,0,10.0,10,10,False,S02-2,S02-2-P04,U_MAX;V_MIN;V_MAX,FRONT,C1
L01-2,L01-2-P03,J3,PAIR-41,90.0,0,10.0,10,10,False,L02-1,L02-1-P04,V_MIN;V_MAX,FRONT,C2
L01-2,L01-2-P04,J3,PAIR-42,180.0,0,10.0,10,10,False,L02-2,L02-2-P04,V_MIN;V_MAX,FRONT,C3
L01-2,L01-2-P05,J3,PAIR-43,270.0,0,10.0,10,10,False,L02-3,L02-3-P04,V_MIN;V_MAX,FRONT,C4
L01-2,L01-2-P06,J3,PAIR-44,360.0,0,10.0,10,10,False,L02-4,L02-4-P04,V_MIN;V_MAX,FRONT,C5
L01-3,L01-3-P01,J4,PAIR-34,0,0,10,10,10,False,S02-3,S02-3-P04,U_MIN;V_MIN;V_MAX,FRONT,C8
L01-3,L01-3-P02,J4,PAIR-35,450.0,0,10.0,10,10,False,S02-4,S02-4-P03,U_MAX;V_MIN;V_MAX,FRONT,C9
L01-3,L01-3-P03,J3,PAIR-45,90.0,0,10.0,10,10,False,L02-5,L02-5-P03,V_MIN;V_MAX,FRONT,CA
L01-3,L01-3-P04,J3,PAIR-46,180.0,0,10.0,10,10,False,L02-6,L02-6-P03,V_MIN;V_MAX,FRONT,CB
L01-3,L01-3-P05,J3,PAIR-47,270.0,0,10.0,10,10,False,L02-7,L02-7-P03,V_MIN;V_MAX,FRONT,CC
L01-3,L01-3-P06,J3,PAIR-48,360.0,0,10.0,10,10,False,L02-8,L02-8-P03,V_MIN;V_MAX,FRONT,CD
L01-4,L01-4-P01,J4,PAIR-33,0,0,10,10,10,False,S02-3,S02-3-P03,U_MIN;V_MIN;V_MAX,FRONT,D0
L01-4,L01-4-P02,J4,PAIR-36,450.0,0,10.0,10,10,False,S02-4,S02-4-P04,U_MAX;V_MIN;V_MAX,FRONT,D1
L01-4,L01-4-P03,J3,PAIR-49,90.0,0,10.0,10,10,False,L02-5,L02-5-P04,V_MIN;V_MAX,FRONT,D2
L01-4,L01-4-P04,J3,PAIR-50,180.0,0,10.0,10,10,False,L02-6,L02-6-P04,V_MIN;V_MAX,FRONT,D3
L01-4,L01-4-P05,J3,PAIR-51,270.0,0,10.0,10,10,False,L02-7,L02-7-P04,V_MIN;V_MAX,FRONT,D4
L01-4,L01-4-P06,J3,PAIR-52,360.0,0,10.0,10,10,False,L02-8,L02-8-P04,V_MIN;V_MAX,FRONT,D5
L02-1,L02-1-P01,J4,PAIR-10,0,0,10,10,10,False,S01-1,S01-1-P06,U_MIN;V_MIN;V_MAX,BACK,D8
L02-1,L02-1-P02,J4,PAIR-13,137.0,0,10.0,10,10,False,S01-2,S01-2-P03,U_MAX;V_MIN;V_MAX,BACK,D9
L02-1,L02-1-P03,J3,PAIR-37,45.666666666666664,0,10.0,10,10,False,L01-1,L01-1-P03,V_MIN;V_MAX,BACK,DA
L02-1,L02-1-P04,J3,PAIR-41,91.33333333333333,0,10.0,10,10,False,L01-2,L01-2-P03,V_MIN;V_MAX,BACK,DB
L02-2,L02-2-P01,J4,PAIR-09,0,0,10,10,10,False,S01-1,S01-1-P05,U_MIN;V_MIN;V_MAX,BACK,DE
L02-2,L02-2-P02,J4,PAIR-14,137.0,0,10.0,10,10,False,S01-2,S01-2-P04,U_MAX;V_MIN;V_MAX,BACK,DF
L02-2,L02-2-P03,J3,PAIR-38,45.666666666666664,0,10.0,10,10,False,L01-1,L01-1-P04,V_MIN;V_MAX,BACK,E0
L02-2,L02-2-P04,J3,PAIR-42,91.33333333333333,0,10.0,10,10,False,L01-2,L01-2-P04,V_MIN;V_MAX,BACK,E1
L02-3,L02-3-P01,J4,PAIR-08,0,0,10,10,10,False,S01-1,S01-1-P04,U_MIN;V_MIN;V_MAX,BACK,E4
L02-3,L02-3-P02,J4,PAIR-15,137.0,0,10.0,10,10,False,S01-2,S01-2-P05,U_MAX;V_MIN;V_MAX,BACK,E5
L02-3,L02-3-P03,J3,PAIR-39,45.666666666666664,0,10.0,10,10,False,L01-1,L01-1-P05,V_MIN;V_MAX,BACK,E6
L02-3,L02-3-P04,J3,PAIR-43,91.33333333333333,0,10.0,10,10,False,L01-2,L01-2-P05,V_MIN;V_MAX,BACK,E7
L02-4,L02-4-P01,J4,PAIR-07,0,0,10,10,10,False,S01-1,S01-1-P03,U_MIN;V_MIN;V_MAX,BACK,EA
L02-4,L02-4-P02,J4,PAIR-16,137.0,0,10.0,10,10,False,S01-2,S01-2-P06,U_MAX;V_MIN;V_MAX,BACK,EB
L02-4,L02-4-P03,J3,PAIR-40,45.666666666666664,0,10.0,10,10,False,L01-1,L01-1-P06,V_MIN;V_MAX,BACK,EC
L02-4,L02-4-P04,J3,PAIR-44,91.33333333333333,0,10.0,10,10,False,L01-2,L01-2-P06,V_MIN;V_MAX,BACK,ED
L02-5,L02-5-P01,J4,PAIR-22,0,0,10,10,10,False,S01-3,S01-3-P06,U_MIN;V_MIN;V_MAX,BACK,F0
L02-5,L02-5-P02,J4,PAIR-25,137.0,0,10.0,10,10,False,S01-4,S01-4-P03,U_MAX;V_MIN;V_MAX,BACK,F1
L02-5,L02-5-P03,J3,PAIR-45,45.666666666666664,0,10.0,10,10,False,L01-3,L01-3-P03,V_MIN;V_MAX,BACK,F2
L02-5,L02-5-P04,J3,PAIR-49,91.33333333333333,0,10.0,10,10,False,L01-4,L01-4-P03,V_MIN;V_MAX,BACK,F3
L02-6,L02-6-P01,J4,PAIR-21,0,0,10,10,10,False,S01-3,S01-3-P05,U_MIN;V_MIN;V_MAX,BACK,F6
L02-6,L02-6-P02,J4,PAIR-26,137.0,0,10.0,10,10,False,S01-4,S01-4-P04,U_MAX;V_MIN;V_MAX,BACK,F7
L02-6,L02-6-P03,J3,PAIR-46,45.666666666666664,0,10.0,10,10,False,L01-3,L01-3-P04,V_MIN;V_MAX,BACK,F8
L02-6,L02-6-P04,J3,PAIR-50,91.33333333333333,0,10.0,10,10,False,L01-4,L01-4-P04,V_MIN;V_MAX,BACK,F9
L02-7,L02-7-P01,J4,PAIR-20,0,0,10,10,10,False,S01-3,S01-3-P04,U_MIN;V_MIN;V_MAX,BACK,FC
L02-7,L02-7-P02,J4,PAIR-27,137.0,0,10.0,10,10,False,S01-4,S01-4-P05,U_MAX;V_MIN;V_MAX,BACK,FD
L02-7,L02-7-P03,J3,PAIR-47,45.666666666666664,0,10.0,10,10,False,L01-3,L01-3-P05,V_MIN;V_MAX,BACK,FE
L02-7,L02-7-P04,J3,PAIR-51,91.33333333333333,0,10.0,10,10,False,L01-4,L01-4-P05,V_MIN;V_MAX,BACK,FF
L02-8,L02-8-P01,J4,PAIR-19,0,0,10,10,10,False,S01-3,S01-3-P03,U_MIN;V_MIN;V_MAX,BACK,102
L02-8,L02-8-P02,J4,PAIR-28,137.0,0,10.0,10,10,False,S01-4,S01-4-P06,U_MAX;V_MIN;V_MAX,BACK,103
L02-8,L02-8-P03,J3,PAIR-48,45.666666666666664,0,10.0,10,10,False,L01-3,L01-3-P06,V_MIN;V_MAX,BACK,104
L02-8,L02-8-P04,J3,PAIR-52,91.33333333333333,0,10.0,10,10,False,L01-4,L01-4-P06,V_MIN;V_MAX,BACK,105
